Current Education Level,Stream / Specialization,Latest Grade / CGPA,Technical / Hard Skills,Soft Skills,Personality Type,"Salary Expectation (Annual, in INR)",Certifications Obtained,Preferred Work Environment,Learning Style,Open to Relocating,Willingness to Pursue Higher Studies,Recommended Career Path
B.Tech,Computer Science,9.37,"SQL, JavaScript, Java, Python, Git","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Data Scientist
B.Com,Commerce,8.02,"SQL, Financial Modeling","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,CFA,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
B.Tech,Mechanical Engineering,8.22,"MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
M.Tech,Computer Science,9.83,"Python, Computer Vision, TensorFlow, PyTorch, NLP","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,7.25,"MATLAB, SolidWorks, AutoCAD","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
B.Tech,Data Science,9.04,"TensorFlow, SQL, R, Python","Problem-Solving, Critical Thinking",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Tech,Graphic Design,9.15,"User Research, Adobe XD, Sketch, Figma","Problem-Solving, Empathy",Ambivert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Tech,Graphic Design,8.97,"User Research, Sketch","Creativity, Empathy",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
MBA,Marketing,8.34,"Social Media Management, Google Analytics, SEO","Communication, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
MBA,Finance,8.43,"Tableau, SQL","Attention to Detail, Analytical Skills",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Tech,Computer Science,9.79,"Scikit-learn, Python, TensorFlow, R, SQL","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Tech,Data Science,9.24,"R, Scikit-learn, TensorFlow, Python","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,Computer Science,9.84,"Python, TensorFlow, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
M.Tech,Computer Science,9.39,"SQL, TensorFlow, Scikit-learn, R","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Graphic Design,7.81,"Figma, Adobe XD","Empathy, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
BBA,Marketing,8.45,"Social Media Management, Digital Marketing, Google Analytics","Communication, Creativity",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
M.Tech,Computer Science,8.82,"Computer Vision, PyTorch, NLP","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,7.43,"MATLAB, SolidWorks, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Tech,Mechanical Engineering,8.16,"MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.A.,Graphic Design,8.5,"Figma, Adobe Photoshop","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,No Certification,I prefer working alone,Visual,No,Yes,Graphic Designer
B.Tech,Computer Science,9.29,"Python, SQL, TensorFlow, R, Scikit-learn","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,AI Specialist
B.Tech,Mechanical Engineering,7.71,"AutoCAD, MATLAB, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,Computer Science,9.51,"Computer Vision, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,8.56,"MATLAB, SolidWorks","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
B.Des,Graphic Design,8.09,"Figma, Adobe Photoshop","Creativity, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Visual,No,Yes,Graphic Designer
M.Tech,Computer Science,8.97,"Python, Computer Vision, PyTorch, NLP","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
M.Tech,Computer Science,9.64,"SQL, Scikit-learn, R, TensorFlow","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,AI Specialist
B.Tech,Mechanical Engineering,8.14,"AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Des,Graphic Design,9.21,"Adobe XD, User Research, Sketch","Problem-Solving, Empathy",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Des,Human-Computer Interaction,9.29,"Figma, Adobe XD, Sketch","Creativity, Problem-Solving",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
M.Tech,AI & ML,8.94,"Python, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Mechanical Engineering,7.92,"MATLAB, AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Mechanical Engineering,8.25,"MATLAB, AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Mechanical Engineering,7.8,"SolidWorks, MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Graphic Design,7.76,"User Research, Figma, Adobe XD, Sketch","Problem-Solving, Empathy",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
BBA,Business Administration,7.03,"Digital Marketing, Social Media Management, SEO, Google Analytics","Leadership, Communication",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Com,Finance,8.01,"Tableau, Financial Modeling, MS Excel","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,No Certification,I prefer working alone,Visual,Maybe,No,Financial Analyst
B.Tech,Computer Science,9.33,"Git, JavaScript, Java","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working alone,Visual,Yes,No,Software Developer
MBA,Marketing,8.54,"Digital Marketing, Google Analytics, Social Media Management, SEO","Communication, Leadership",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.A.,Graphic Design,8.75,"Figma, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,4-8 LPA,No Certification,I like a mix of both,Visual,No,Yes,Graphic Designer
B.Tech,Computer Science,9.24,"JavaScript, Python","Teamwork, Problem-Solving",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Yes,No,Software Developer
Diploma,Mechanical Engineering,8.47,"SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Des,Fine Arts,7.54,"Adobe Photoshop, Adobe Illustrator","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
MBA,Commerce,8.59,"Tableau, MS Excel","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,No,Business Analyst
B.Tech,Computer Science,8.97,"JavaScript, Git, Python, Java, SQL","Teamwork, Problem-Solving",Ambivert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Yes,No,Software Developer
B.Com,Finance,7.67,"Tableau, SQL","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Visual,No,No,Business Analyst
M.Tech,Computer Science,9.45,"TensorFlow, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
MBA,Business Administration,8.92,"Social Media Management, Google Analytics","Communication, Creativity",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Social Media Manager
B.Des,Graphic Design,6.81,"Adobe Illustrator, Adobe Photoshop","Creativity, Attention to Detail",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,No,Graphic Designer
B.Tech,Computer Science,9.63,"Git, Java, Python, SQL","Problem-Solving, Teamwork",Ambivert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Maybe,No,Data Scientist
M.Tech,Computer Science,9.94,"Computer Vision, PyTorch, Python, TensorFlow, NLP","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,8.58,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Tech,Data Science,9.2,"SQL, Python","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
BBA,Business Administration,8.94,"Google Analytics, Social Media Management","Leadership, Communication",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
M.Tech,Computer Science,9.46,"Python, TensorFlow, NLP, PyTorch, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Com,Commerce,7.7,"Tableau, MS Excel","Analytical Skills, Attention to Detail",Extrovert,8-12 LPA,CFA,I prefer working alone,Visual,Maybe,No,Financial Analyst
M.Tech,Computer Science,8.57,"Scikit-learn, TensorFlow, Python, SQL, R","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
MBA,Finance,8.76,"MS Excel, Tableau","Analytical Skills, Attention to Detail",Ambivert,8-12 LPA,CFA,I prefer working alone,Visual,No,Yes,Financial Analyst
B.Tech,Computer Science,8.76,"Python, TensorFlow, R, SQL, Scikit-learn","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,AI Specialist
MBA,Commerce,8.83,"Financial Modeling, SQL, MS Excel","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,No,No,Financial Analyst
B.Tech,Mechanical Engineering,7.82,"SolidWorks, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
Diploma,Mechanical Engineering,7.29,"AutoCAD, SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Tech,Computer Science,9.5,"Git, Python, Java","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Maybe,No,Software Developer
M.Tech,AI & ML,9.58,"PyTorch, NLP, Python, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
Diploma,Mechanical Engineering,8.85,"AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
Diploma,Mechanical Engineering,8.21,"MATLAB, AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,AI & ML,9.92,"Python, TensorFlow","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Graphic Design,6.62,"Figma, Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,Yes,UI/UX Designer
Diploma,Mechanical Engineering,8.11,"AutoCAD, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Com,Commerce,7.7,"Financial Modeling, MS Excel, SQL","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Tech,Graphic Design,8.52,"Sketch, Adobe XD, User Research","Creativity, Empathy",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Tech,Computer Science,8.89,"Python, TensorFlow, Scikit-learn, SQL","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
M.Tech,AI & ML,9.47,"Computer Vision, NLP, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.A.,Fine Arts,7.29,"Figma, Adobe Illustrator","Creativity, Attention to Detail",Introvert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Tech,Computer Science,8.77,"JavaScript, Java, Python, Git, SQL","Teamwork, Problem-Solving",Ambivert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Software Developer
M.Tech,Computer Science,9.03,"Scikit-learn, SQL, Python, R","Critical Thinking, Problem-Solving",Introvert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
MBA,Finance,8.3,"SQL, Financial Modeling, Tableau","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
B.Tech,Computer Science,8.28,"JavaScript, Java, Git, Python","Teamwork, Problem-Solving",Ambivert,12+ LPA,No Certification,I prefer working alone,Visual,Yes,No,Software Developer
BBA,Marketing,7.6,"SEO, Google Analytics, Social Media Management","Communication, Leadership",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Com,Finance,8.26,"Tableau, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
M.Tech,Computer Science,9.63,"PyTorch, NLP","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Marketing,7.89,"Google Analytics, Digital Marketing, SEO","Creativity, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
MBA,Finance,8.48,"SQL, Financial Modeling, MS Excel","Attention to Detail, Analytical Skills",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,Maybe,No,Business Analyst
B.A.,Fine Arts,7.58,"Figma, Adobe Illustrator, Adobe Photoshop","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,No,Graphic Designer
B.A.,Fine Arts,8.89,"Figma, Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,Graphic Designer
B.Des,Human-Computer Interaction,8.28,"Figma, Adobe XD, User Research","Creativity, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Tech,Mechanical Engineering,8.66,"MATLAB, SolidWorks","Teamwork, Problem-Solving",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Civil Engineer
B.Tech,Data Science,9.67,"Scikit-learn, Python, TensorFlow, R, SQL","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
M.Tech,AI & ML,8.88,"TensorFlow, Python, NLP, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Data Science,9.37,"SQL, Scikit-learn, R, TensorFlow, Python","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
B.Des,Human-Computer Interaction,9.12,"Figma, Adobe XD, User Research","Creativity, Empathy",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
B.Tech,Data Science,9.81,"SQL, TensorFlow, Scikit-learn, R","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Com,Finance,8.63,"Tableau, MS Excel, SQL","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,No,Financial Analyst
M.Tech,Data Science,9.41,"SQL, Scikit-learn, R, TensorFlow","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,AI Specialist
M.Tech,Computer Science,8.8,"Python, NLP, TensorFlow, Computer Vision, PyTorch","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
